MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
05/01/2023 21:00:00 - 05/01/2023 22:00:00,BZN|NL,Without Sequence,152,,
05/01/2023 22:00:00 - 05/01/2023 23:00:00,BZN|NL,Without Sequence,144.64,,
05/01/2023 23:00:00 - 06/01/2023 00:00:00,BZN|NL,Without Sequence,127,,
06/01/2023 00:00:00 - 06/01/2023 01:00:00,BZN|NL,Without Sequence,107.21,,
06/01/2023 01:00:00 - 06/01/2023 02:00:00,BZN|NL,Without Sequence,101.1,,
06/01/2023 02:00:00 - 06/01/2023 03:00:00,BZN|NL,Without Sequence,96.73,,
06/01/2023 03:00:00 - 06/01/2023 04:00:00,BZN|NL,Without Sequence,81.42,,
06/01/2023 04:00:00 - 06/01/2023 05:00:00,BZN|NL,Without Sequence,74.45,,
06/01/2023 05:00:00 - 06/01/2023 06:00:00,BZN|NL,Without Sequence,78.32,,
06/01/2023 06:00:00 - 06/01/2023 07:00:00,BZN|NL,Without Sequence,96.89,,
06/01/2023 07:00:00 - 06/01/2023 08:00:00,BZN|NL,Without Sequence,107.02,,
06/01/2023 08:00:00 - 06/01/2023 09:00:00,BZN|NL,Without Sequence,122.94,,
06/01/2023 09:00:00 - 06/01/2023 10:00:00,BZN|NL,Without Sequence,166.4,,
06/01/2023 10:00:00 - 06/01/2023 11:00:00,BZN|NL,Without Sequence,182.4,,
06/01/2023 11:00:00 - 06/01/2023 12:00:00,BZN|NL,Without Sequence,163.67,,
06/01/2023 12:00:00 - 06/01/2023 13:00:00,BZN|NL,Without Sequence,140.2,,
06/01/2023 13:00:00 - 06/01/2023 14:00:00,BZN|NL,Without Sequence,135,,
06/01/2023 14:00:00 - 06/01/2023 15:00:00,BZN|NL,Without Sequence,158,,
06/01/2023 15:00:00 - 06/01/2023 16:00:00,BZN|NL,Without Sequence,170.4,,
06/01/2023 16:00:00 - 06/01/2023 17:00:00,BZN|NL,Without Sequence,140.1,,
06/01/2023 17:00:00 - 06/01/2023 18:00:00,BZN|NL,Without Sequence,155.93,,
06/01/2023 18:00:00 - 06/01/2023 19:00:00,BZN|NL,Without Sequence,163.5,,
06/01/2023 19:00:00 - 06/01/2023 20:00:00,BZN|NL,Without Sequence,146.74,,
06/01/2023 20:00:00 - 06/01/2023 21:00:00,BZN|NL,Without Sequence,139.39,,
06/01/2023 21:00:00 - 06/01/2023 22:00:00,BZN|NL,Without Sequence,131.84,,
06/01/2023 22:00:00 - 06/01/2023 23:00:00,BZN|NL,Without Sequence,129.94,,
06/01/2023 23:00:00 - 07/01/2023 00:00:00,BZN|NL,Without Sequence,121.31,,
07/01/2023 00:00:00 - 07/01/2023 01:00:00,BZN|NL,Without Sequence,97.28,,
07/01/2023 01:00:00 - 07/01/2023 02:00:00,BZN|NL,Without Sequence,98.16,,
07/01/2023 02:00:00 - 07/01/2023 03:00:00,BZN|NL,Without Sequence,94.96,,
07/01/2023 03:00:00 - 07/01/2023 04:00:00,BZN|NL,Without Sequence,83.86,,
07/01/2023 04:00:00 - 07/01/2023 05:00:00,BZN|NL,Without Sequence,76.66,,
07/01/2023 05:00:00 - 07/01/2023 06:00:00,BZN|NL,Without Sequence,69.88,,
07/01/2023 06:00:00 - 07/01/2023 07:00:00,BZN|NL,Without Sequence,76.49,,
07/01/2023 07:00:00 - 07/01/2023 08:00:00,BZN|NL,Without Sequence,92.53,,
07/01/2023 08:00:00 - 07/01/2023 09:00:00,BZN|NL,Without Sequence,109.94,,
07/01/2023 09:00:00 - 07/01/2023 10:00:00,BZN|NL,Without Sequence,112.87,,
07/01/2023 10:00:00 - 07/01/2023 11:00:00,BZN|NL,Without Sequence,100.69,,
07/01/2023 11:00:00 - 07/01/2023 12:00:00,BZN|NL,Without Sequence,88.32,,
07/01/2023 12:00:00 - 07/01/2023 13:00:00,BZN|NL,Without Sequence,87.9,,
07/01/2023 13:00:00 - 07/01/2023 14:00:00,BZN|NL,Without Sequence,74.29,,
07/01/2023 14:00:00 - 07/01/2023 15:00:00,BZN|NL,Without Sequence,90,,
07/01/2023 15:00:00 - 07/01/2023 16:00:00,BZN|NL,Without Sequence,86.9,,
07/01/2023 16:00:00 - 07/01/2023 17:00:00,BZN|NL,Without Sequence,94.31,,
07/01/2023 17:00:00 - 07/01/2023 18:00:00,BZN|NL,Without Sequence,98.32,,
07/01/2023 18:00:00 - 07/01/2023 19:00:00,BZN|NL,Without Sequence,100.96,,
07/01/2023 19:00:00 - 07/01/2023 20:00:00,BZN|NL,Without Sequence,96,,
07/01/2023 20:00:00 - 07/01/2023 21:00:00,BZN|NL,Without Sequence,89.1,,
07/01/2023 21:00:00 - 07/01/2023 22:00:00,BZN|NL,Without Sequence,62.98,,
07/01/2023 22:00:00 - 07/01/2023 23:00:00,BZN|NL,Without Sequence,51.2,,
07/01/2023 23:00:00 - 08/01/2023 00:00:00,BZN|NL,Without Sequence,38.79,,
08/01/2023 00:00:00 - 08/01/2023 01:00:00,BZN|NL,Without Sequence,11.55,,
08/01/2023 01:00:00 - 08/01/2023 02:00:00,BZN|NL,Without Sequence,9.07,,
08/01/2023 02:00:00 - 08/01/2023 03:00:00,BZN|NL,Without Sequence,9.1,,
08/01/2023 03:00:00 - 08/01/2023 04:00:00,BZN|NL,Without Sequence,3.46,,
08/01/2023 04:00:00 - 08/01/2023 05:00:00,BZN|NL,Without Sequence,2.8,,
08/01/2023 05:00:00 - 08/01/2023 06:00:00,BZN|NL,Without Sequence,5.08,,
08/01/2023 06:00:00 - 08/01/2023 07:00:00,BZN|NL,Without Sequence,9.02,,
08/01/2023 07:00:00 - 08/01/2023 08:00:00,BZN|NL,Without Sequence,16.47,,
08/01/2023 08:00:00 - 08/01/2023 09:00:00,BZN|NL,Without Sequence,50.23,,
08/01/2023 09:00:00 - 08/01/2023 10:00:00,BZN|NL,Without Sequence,83.02,,
08/01/2023 10:00:00 - 08/01/2023 11:00:00,BZN|NL,Without Sequence,93.88,,
08/01/2023 11:00:00 - 08/01/2023 12:00:00,BZN|NL,Without Sequence,103.87,,
08/01/2023 12:00:00 - 08/01/2023 13:00:00,BZN|NL,Without Sequence,101.69,,
08/01/2023 13:00:00 - 08/01/2023 14:00:00,BZN|NL,Without Sequence,99,,
08/01/2023 14:00:00 - 08/01/2023 15:00:00,BZN|NL,Without Sequence,104.29,,
08/01/2023 15:00:00 - 08/01/2023 16:00:00,BZN|NL,Without Sequence,103.33,,
08/01/2023 16:00:00 - 08/01/2023 17:00:00,BZN|NL,Without Sequence,108.43,,
08/01/2023 17:00:00 - 08/01/2023 18:00:00,BZN|NL,Without Sequence,118.72,,
08/01/2023 18:00:00 - 08/01/2023 19:00:00,BZN|NL,Without Sequence,122.76,,
